icd_code,icd_code_norm,icd_version,mimic_long_title,official_source,official_code_description,official_default_category,official_default_category_description,all_ccsr_categories,all_ccsr_descriptions,clinical_priority_category,mapping_status,mapping_reason,primary_psychiatric_comorbidity_flag,dementia_flag,substance_flag
T40711A,T40711A,10,"Poisoning by cannabis, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cannabis, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD019,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40712A,T40712A,10,"Poisoning by cannabis, intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cannabis, intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD019,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T40715A,T40715A,10,"Adverse effect of cannabis, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of cannabis, initial encounter",XXX000,Unacceptable PDX,INJ028; MBD019,"Adverse effects of drugs and medicaments, initial encounter; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T407X1A,T407X1A,10,"Poisoning by cannabis (derivatives), accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cannabis (derivatives), accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD019,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T407X1D,T407X1D,10,"Poisoning by cannabis (derivatives), accidental (unintentional), subsequent encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cannabis (derivatives), accidental (unintentional), subsequent encounter",INJ059,"Poisoning by drugs, subsequent encounter",INJ059; MBD030,"Poisoning by drugs, subsequent encounter; Cannabis-related disorders; subsequent encounter",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T407X2A,T407X2A,10,"Poisoning by cannabis (derivatives), intentional self-harm, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cannabis (derivatives), intentional self-harm, initial encounter",MBD012,Suicidal ideation/attempt/intentional self-harm,EXT014; EXT021; INJ022; MBD012; MBD019,"External cause codes: poisoning by drug; External cause codes: intent of injury, self-harm; Poisoning by drugs, initial encounter; Suicidal ideation/attempt/intentional self-harm; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T407X4A,T407X4A,10,"Poisoning by cannabis (derivatives), undetermined, initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by cannabis (derivatives), undetermined, initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT023; INJ022; MBD019,"External cause codes: poisoning by drug; External cause codes: intent of injury, undetermined; Poisoning by drugs, initial encounter; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T407X5A,T407X5A,10,"Adverse effect of cannabis (derivatives), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Adverse effect of cannabis (derivatives), initial encounter",XXX000,Unacceptable PDX,INJ028; MBD019,"Adverse effects of drugs and medicaments, initial encounter; Cannabis-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T408X1A,T408X1A,10,"Poisoning by lysergide [LSD], accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by lysergide [LSD], accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD022,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Hallucinogen-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
T410X1A,T410X1A,10,"Poisoning by inhaled anesthetics, accidental (unintentional), initial encounter","AHRQ CCSR for ICD-10-CM Diagnoses, v2026.1","Poisoning by inhaled anesthetics, accidental (unintentional), initial encounter",INJ022,"Poisoning by drugs, initial encounter",EXT014; EXT020; INJ022; MBD023,"External cause codes: poisoning by drug; External cause codes: intent of injury, accidental/unintentional; Poisoning by drugs, initial encounter; Inhalant-related disorders",other_substance_related_disorders,included_non_primary,ICD-10 F11-F16/F18-F19 or AHRQ substance CCSR. Excluded from primary exposure.,0,0,1
